D,tc,A,I,Q,Qrat,C,Creal 
41.2020202020202, 166.505854307, 18.181818181818187, 1.235409348363543, 16.127915147706336, 19.96357363873743, 0.8887714437202491 , 0.014878975110676566
43.21212121212121, 168.397670853, 18.181818181818187, 1.210650753001414, 15.891213407596014, 19.533106227583094, 0.8873912148930164 , 0.0094394671087468
45.22222222222222, 170.227040218, 21.21212121212119, 1.1874810641051987, 18.734570753284306, 22.317424146380258, 0.8859990867493531 , 0.020686470423789256
47.23232323232323, 171.998762175, 21.21212121212119, 1.1657342178655248, 18.39934750957539, 21.868665143820156, 0.884379424555093 , 0.014548086117904965
49.242424242424235, 173.717080844, 24.24242424242425, 1.1452676527812942, 21.082099534442058, 24.47260617780295, 0.881448980404539 , 0.02585270822875703
51.252525252525245, 175.385768854, 24.24242424242425, 1.1259581825441252, 20.637302271687155, 24.02901318304168, 0.8803140375611819 , 0.01869233949530241
53.262626262626256, 177.008195987, 27.272727272727252, 1.1076987235914413, 23.031873875475863, 26.5548256602662, 0.8790088136235452 , 0.02917486963230955
55.272727272727266, 178.587385639, 27.272727272727252, 1.0903956754075441, 22.9781248163334, 26.113811172914822, 0.8781274827742401 , 0.023497325175281792
57.28282828282828, 180.126061617, 30.30303030303031, 1.0739668048297832, 25.545177803424522, 28.42464981164192, 0.8734100901124706 , 0.035379680872527186
59.29292929292929, 181.626687213, 30.30303030303031, 1.058339523447112, 24.86633978595473, 27.96986922205468, 0.872126254268089 , 0.026186949136420234
61.3030303030303, 183.091498038, 33.333333333333314, 1.0434494744522602, 27.568618088426426, 30.290411329705357, 0.8708733504975631 , 0.039302522568945425
63.31313131313131, 184.522529783, 33.333333333333314, 1.02923936521622, 26.76791604770632, 29.864541445492033, 0.8704838482120683 , 0.02890029919545421
65.32323232323232, 185.921641835, 36.363636363636374, 1.0156579965514956, 28.971202487842334, 32.10445680554455, 0.8692616659841479 , 0.0401842933808757
67.33333333333333, 187.290537461, 36.363636363636374, 1.002659450597898, 28.68183448021147, 31.65068273879965, 0.8680851457570801 , 0.03193834349086826
69.34343434343434, 188.630781152, 39.39393939393938, 0.9902024075298455, 30.977159817542574, 33.8158266252156, 0.8668952390605675 , 0.04069442875329419
71.35353535353535, 189.943813606, 39.39393939393938, 0.9782495675708047, 30.607197050278838, 33.378032140031046, 0.8661271481816355 , 0.035114031560978705
73.36363636363636, 191.230964707, 42.424242424242436, 0.9667671596238783, 32.99463669065725, 35.4947781311242, 0.8654230949487394 , 0.04447059382554998
75.37373737373737, 192.493464837, 45.45454545454547, 0.9557245215584231, 34.752040802516014, 37.547116831141466, 0.8643040454148446 , 0.054550768728284946
77.38383838383838, 193.732454759, 45.45454545454547, 0.9450937401005393, 34.26463254710578, 37.02630199216484, 0.86190248571636 , 0.04404646488727987
79.39393939393939, 194.948994292, 48.4848484848485, 0.9348493405581901, 36.829772867645325, 38.96512499613519, 0.8596633363034011 , 0.0551916724231737
81.4040404040404, 196.144069945, 48.4848484848485, 0.9249680184161608, 36.25883863927266, 38.52133634736734, 0.8589513868002615 , 0.04792450471287714
83.41414141414141, 197.318601667, 51.51515151515153, 0.9154284062714911, 38.08376681674691, 40.45674688041926, 0.857889973511734 , 0.35618371767662904
85.42424242424242, 198.473448825, 54.54545454545456, 0.9062108707288582, 39.96476053469516, 42.3520229959712, 0.856813551907232 , 0.3717230201780266
87.43434343434343, 199.609415518, 54.54545454545456, 0.8972973348001758, 39.26721202141108, 41.88593175291661, 0.8558018830786798 , 0.3697725258446322
89.44444444444444, 200.727255313, 57.575757575757564, 0.8886711221011694, 41.165175848952195, 43.75179298775014, 0.855096495790384 , 0.38439171909676134
91.45454545454545, 201.827675484, 60.606060606060595, 0.8803168197466801, 43.12003121226295, 45.56847799781312, 0.8541014667654283 , 0.3953372590548597
93.46464646464646, 202.911340805, 60.606060606060595, 0.8722201573443735, 43.22992841492955, 45.14974223874799, 0.8541086108437753 , 0.3982790912860312
95.47474747474747, 203.978876958, 63.636363636363626, 0.8643678998955779, 45.233933035222194, 46.92574519003837, 0.8531142437856792 , 0.40955916999910486
97.48484848484847, 205.030873603, 66.66666666666666, 0.8567477527495324, 46.2938216206856, 48.67135831865964, 0.8521415696007418 , 0.41663346036221355
